pokemon_name,card_id,card_number,set_name,rarity,variant,popularity_rank,popularity_score,market_avg_price,ebay_avg_price,tcgplayer_avg_price,market_avg_7d_price,market_avg_30d_price,ebay_avg_7d,ebay_avg_30d,tcgplayer_avg_7d,tcgplayer_avg_30d,total_sales,ebay_sale_count,tcgplayer_sale_count,ebay_premium,ebay_low_price,ebay_median_3d,ebay_median_7d,ebay_median_30d,ebay_high_price,tcgplayer_low_price,tcgplayer_median_3d,tcgplayer_median_7d,tcgplayer_median_30d,tcgplayer_high_price,price_7d_avg,price_30d_avg,price_90d_avg,price_1y_avg,price_momentum,price_volatility
Bulbasaur,019bffa9-14a4-732a-bc78-296057143435,001/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,16.0,90.1,1.5799999999999998,2.84,0.32,1.342857215,1.2820193,2.377143,2.2540386,0.30857143,0.31,12966.0,185.0,12781.0,2.52,2.49,2.24,2.37,1.99,3.19,0.1,,,,0.4,1.1485714285714288,1.2670000033333333,1.2670000033333333,1.2670000033333333,-74.74348862209025,1.1166367692642032
Bulbasaur,019bffab-58b9-77cf-912b-35916daf4153,166/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,16.0,90.1,79.125,69.0,89.25,86.66356999999999,84.15675,84.55857,79.85414,88.76857,88.45936,5204.0,378.0,4826.0,-20.25,69.0,82.5,79.995,78.99,69.0,89.99,,,,89.99,86.97841233333332,85.21224241935482,85.21224241935482,85.21224241935482,4.738471217286091,15.984164145222605
Bulbasaur,019c3ac3-ec70-77fb-8940-51a4a99037ce,001/165,SV: Scarlet & Violet 151,Common,Normal,16.0,90.1,1.165,2.07,0.26,1.305,1.20671774,2.3457143,2.1715,0.2642857,0.24193548,14676.0,142.0,14534.0,1.81,1.25,1.89,1.995,1.99,2.89,0.21,,,,0.4,0.8853846153846155,1.1179999999999999,1.1179999999999999,1.1179999999999999,-76.74418604651162,1.3485276773398922
Ivysaur,019bffa9-14a4-732a-bc78-2f788ce711d5,002/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,31.0,80.2,0.945,1.5,0.39,1.342499935,1.22285887,2.297857,2.06475,0.38714287,0.38096774,7877.0,116.0,7761.0,1.11,1.5,1.5,2.245,1.99,1.5,0.29,,,,0.48,0.8739394,0.9914444466666666,0.9914444466666666,0.9914444466666666,-60.66345408346194,0.8840703684500415
Ivysaur,019bffab-58b9-77cf-912b-3aee171b84e0,167/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,31.0,80.2,54.455,49.99,58.92,53.700001,54.670507,49.685715,51.58327,57.714287,57.757744,5437.0,364.0,5073.0,-8.93,49.99,49.99,50.0,50.99,49.99,60.0,,,,69.98,54.45041678571429,54.68451616129032,54.68451616129032,54.68451616129032,7.745307330172316,3.972258834940594
Ivysaur,019c3ac3-ec70-77fb-8940-544aafc2daf4,002/165,SV: Scarlet & Violet 151,Uncommon,Normal,31.0,80.2,1.3350000000000002,2.49,0.18,0.99571426,0.986354835,1.8271428,1.764,0.16428572,0.20870967,12699.0,76.0,12623.0,2.31,1.99,2.49,1.99,1.89,2.99,0.03,,,,0.4,0.4266666666666667,0.6696666666666665,0.6696666666666665,0.6696666666666665,-73.1209556993529,0.8505271522894547
Venusaur,019bffa9-14a4-732a-bc78-30b5441b4763,003/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,17.0,89.44,1.89,2.33,1.45,1.7417857,1.6949129,2.145,2.1366,1.3385714,1.2532258,32310.0,410.0,31900.0,0.8800000000000001,1.75,2.19,2.16,2.19,3.48,0.5,,,,2.2,1.755088886666666,1.7012333299999998,1.7012333299999998,1.7012333299999998,-14.767717371255584,0.5448041210096001
Venusaur,019bffab-58b9-77cf-912b-8d26e8df9af7,182/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,17.0,89.44,19.125,20.0,18.25,17.926071,18.53074,17.852142,18.36148,18.0,18.7,5743.0,312.0,5431.0,1.75,20.0,19.99,16.99,17.99,20.0,19.51,,,,19.99,17.946666642857146,18.14131722580645,18.14131722580645,18.14131722580645,0.5990897620099289,1.5600984377318783
Venusaur,019bffab-58b9-77cf-912b-ab2dd3a12a07,198/165,SV: Scarlet & Violet 151,Special Illustration Rare,Holofoil,17.0,89.44,122.605,112.5,132.71,135.42857,135.9442,,,135.42857,135.9442,5133.0,380.0,4753.0,-20.210000000000008,112.5,114.0,115.5,125.0,112.5,132.71,,,,132.71,129.66589730769232,129.26518883333333,129.26518883333333,129.26518883333333,2.6649179084929133,9.312543170004052
Charmander,019bffa9-14a4-732a-bc78-34e124845f99,004/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,12.0,92.74,0.74,1.09,0.39,1.12892855,1.17958734,1.8421428,1.9685295,0.4157143,0.39064518,7979.0,147.0,7832.0,0.7000000000000001,1.09,1.89,1.97,1.99,1.09,0.23,,,,0.57,0.9326388916666666,1.014274193548387,1.014274193548387,1.014274193548387,-61.54885902838514,0.8752381355405057
Charmander,019bffa9-14a4-732a-bc78-3b08db3020df,168/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,12.0,92.74,111.675,101.05,122.3,112.330355,107.138125,105.12357,101.41625,119.53714,112.86,4721.0,91.0,4630.0,-21.25,95.0,107.1,100.0,100.5,107.1,122.3,,,,122.3,112.113,108.61672233333333,108.61672233333333,108.61672233333333,12.59776337631891,10.13729815258201
Charmander,019c3ac3-ec70-77fb-8940-5b2ccbed286f,004/165,SV: Scarlet & Violet 151,Common,Normal,12.0,92.74,1.2183333500000002,2.2166667,0.22,1.4521428,1.62922379,2.7142856,3.058125,0.19,0.20032258,13919.0,195.0,13724.0,1.9966667,2.0,2.42,2.99,2.57,2.42,0.24,,,,0.25,1.268214285714286,1.3802444433333332,1.3802444433333332,1.3802444433333332,-84.06079437141634,1.4925769288796493
Charmeleon,019bffa9-14a4-732a-bc78-3c15beffbf94,005/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,26.0,83.5,1.29,2.22,0.36,1.10785715,1.25250736,1.86,2.1472728,0.3557143,0.35774192,7519.0,114.0,7405.0,1.8600000000000003,0.69,1.84,1.84,2.13,3.75,0.4,,,,0.49,0.8190909090909089,0.7166666666666666,0.7166666666666666,0.7166666666666666,-49.76744186046511,0.6614056782825256
Charmeleon,019bffab-58b9-77cf-912b-5066b0342295,169/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,26.0,83.5,77.68,74.83,80.53,78.24607,77.1348175,74.725,75.301895,81.76714,78.96774,5165.0,415.0,4750.0,-5.700000000000003,74.83,78.41,75.0,75.0,74.83,80.4,,,,80.4,78.52300000000001,78.87860209677419,78.87860209677419,78.87860209677419,2.0935942820078814,5.558903008187223
Charmeleon,019c3ac3-ec70-77fb-8940-5f8cdc414f6f,005/165,SV: Scarlet & Violet 151,Uncommon,Normal,26.0,83.5,0.87,1.5,0.24,1.028571425,1.2871553649999998,1.84,2.3581817,0.21714285,0.21612903,11054.0,195.0,10859.0,1.26,1.5,1.63,1.685,1.83,1.5,0.15,,,,0.2,0.856517857142857,1.127405912903226,1.127405912903226,1.127405912903226,-78.71219254279349,1.2686812335316944
Charizard,019bffa9-14a4-732a-bc78-4162e56c717a,006/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,8.0,95.38,11.915,12.99,10.84,10.762857,9.677214,10.712857,9.116041,10.812857,10.238387,15857.0,115.0,15742.0,2.1500000000000004,12.99,12.99,10.5,8.81,12.99,8.5,,,,9.15,11.078461538461537,10.196944433333336,10.196944433333336,10.196944433333336,6.306355505523258,1.4773744637054425
Charizard,019bffab-58b9-77cf-912b-4f5a68ebe26d,183/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,8.0,95.38,43.93375,39.9775,47.89,46.5921415,47.645683,46.927143,48.5004,46.25714,46.790966,4894.0,351.0,4543.0,-7.912500000000001,34.91,39.0,41.995,47.53,47.0,57.99,,,,57.99,45.478611111111114,46.67638174193549,46.67638174193549,46.67638174193549,2.6000692700954633,3.541508803509327
Charizard,019bffab-58b9-77cf-912b-acdfb23b0a46,199/165,SV: Scarlet & Violet 151,Special Illustration Rare,Holofoil,8.0,95.38,450.5725,407.185,493.96,438.63072,433.138365,397.56857,417.0422,479.69287,449.23453,4030.0,397.0,3633.0,-86.77499999999998,398.75,410.0,400.0,420.0,420.0,400.0,,,,492.54,451.6277083333334,443.67384999999996,443.67384999999996,443.67384999999996,11.334035125126267,33.99085193294088
Squirtle,019bffa9-14a4-732a-bc78-1bffe0c22807,007/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,9.0,94.72,1.4016667,2.4233334,0.38,1.142857175,1.13531392,1.9385715,1.9148214,0.34714285,0.35580644,13972.0,235.0,13737.0,2.0433334000000003,1.3,1.99,1.99,1.99,3.48,0.09,,,,0.5,1.006380957142857,1.0052473161290323,1.0052473161290323,1.0052473161290323,-62.19835717012512,0.8343206498500805
Squirtle,019bffa9-14a4-732a-bc78-1c1394fe521d,170/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,9.0,94.72,112.935,111.43,114.44,107.484643,103.7623375,101.56357,101.905,113.405716,105.619675,4715.0,117.0,4598.0,-3.009999999999991,111.43,100.995,99.985,100.0,111.43,114.44,,,,114.44,109.14454545454545,105.69591666666666,105.69591666666666,105.69591666666666,8.27286768410322,7.044521057706568
Squirtle,019c3ac3-ec70-77fb-8940-4a78f5e71678,007/165,SV: Scarlet & Violet 151,Common,Normal,9.0,94.72,1.901,3.532,0.27,1.241071425,1.035769525,2.2292857,1.8389584,0.25285715,0.23258065,20363.0,149.0,20214.0,3.262,1.29,2.02,2.005,1.89,6.7,0.25,,,,0.25,1.1081025692307696,0.994634412903226,0.994634412903226,0.994634412903226,-72.85434763795269,1.0276847617150477
Wartortle,019bffa9-14a4-732a-bc78-20c883c6ed79,008/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,37.0,76.24,1.16166665,1.6733333,0.65,1.30285708,1.34348791,2.1185713,2.23375,0.48714286,0.45322582,7839.0,123.0,7716.0,1.0233333,1.59,1.68,1.68,1.84,1.77,0.3,,,,0.76,0.812121209090909,0.8954444433333333,0.8954444433333333,0.8954444433333333,-27.410348588423304,0.8806800233047304
Wartortle,019bffab-58b9-77cf-912b-91847f21db48,171/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,37.0,76.24,72.645,71.49,73.8,70.212142,67.92752999999999,64.844284,65.53635,75.58,70.31871,5438.0,368.0,5070.0,-2.3100000000000023,67.99,63.745,64.99,64.97,74.99,66.0,,,,70.0,71.49714285714286,69.03158333333333,69.03158333333333,69.03158333333333,6.9075869861500605,6.210659976305601
Wartortle,019c3ac3-ec70-77fb-8940-4f2a5fbc2d49,008/165,SV: Scarlet & Violet 151,Uncommon,Normal,37.0,76.24,1.49,2.69,0.29,1.3128572200000002,1.078923175,2.357143,1.8955883,0.26857144,0.26225805,4145.0,65.0,4080.0,2.4,2.69,2.69,2.34,1.94,2.69,0.2,,,,0.3,0.9566666666666667,0.8535483870967739,0.8535483870967739,0.8535483870967739,-66.02418745275887,0.9286640884880345
Blastoise,019bffa9-14a4-732a-bc78-246a146b9430,009/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,6.0,96.7,2.06,1.98,2.14,2.50107145,2.4677420000000003,2.9835715,2.9809678,2.0185714,1.9545162,38541.0,834.0,37707.0,-0.1600000000000001,1.98,2.99,2.99,2.99,1.98,1.8,,,,3.71,2.5416889749999996,2.5373835866666665,2.5373835866666665,2.5373835866666665,-15.661155402550108,0.7259699201597171
Blastoise,019bffab-58b9-77cf-912b-472e246c214c,184/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,6.0,96.7,27.8366665,26.223333,29.45,26.2853575,26.970396,24.283571,25.772083,28.287144,28.168709,5227.0,277.0,4950.0,-3.226666999999999,23.99,25.34,26.315,25.72,29.0,26.99,,,,26.99,27.993471916666664,27.9367221,27.9367221,27.9367221,5.416805502747219,3.574334027860569
Blastoise,019bffab-58b9-77cf-912b-b20ca9d1ce55,200/165,SV: Scarlet & Violet 151,Special Illustration Rare,Holofoil,6.0,96.7,157.075,160.85,153.3,149.77321,152.67765,145.995,150.37982,153.55142,154.97548,4891.0,473.0,4418.0,7.549999999999983,150.0,140.0,148.875,151.5,171.7,140.0,,,,149.99,152.41035714285712,154.2499680645161,154.2499680645161,154.2499680645161,-0.6158627301101084,9.987838909415261
