pokemon_name,card_id,card_number,set_name,set_slug,variant,rarity,currency,market,ebay_avg_price,ebay_low_price,ebay_high_price,ebay_sale_count,ebay_avg_1d,ebay_avg_7d,ebay_avg_30d,ebay_median_3d,ebay_median_7d,ebay_median_30d,tcgplayer_avg_price,tcgplayer_low_price,tcgplayer_high_price,tcgplayer_sale_count,tcgplayer_avg_1d,tcgplayer_avg_7d,tcgplayer_avg_30d,tcgplayer_median_3d,tcgplayer_median_7d,tcgplayer_median_30d,last_updated,image_url,popularity_rank,popularity_score
Bulbasaur,019bffa9-14a4-732a-bc78-296057143435,001/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.84,2.49,3.19,185.0,1.99,2.377143,2.2540386,2.24,2.37,1.99,0.32,0.1,0.4,12781.0,0.31,0.30857143,0.31,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/78d06b5e2335be8d.webp,16.0,90.1
Bulbasaur,019bffab-58b9-77cf-912b-35916daf4153,166/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,69.0,69.0,69.0,378.0,80.0,84.55857,79.85414,82.5,79.995,78.99,89.25,89.99,89.99,4826.0,88.85,88.76857,88.45936,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/0e68224f91f27f99.webp,16.0,90.1
Bulbasaur,019c3ac3-ec70-77fb-8940-51a4a99037ce,001/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,2.07,1.25,2.89,142.0,0.99,2.3457143,2.1715,1.89,1.995,1.99,0.26,0.21,0.4,14534.0,0.26,0.2642857,0.24193548,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/78d06b5e2335be8d.webp,16.0,90.1
Ivysaur,019bffa9-14a4-732a-bc78-2f788ce711d5,002/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.5,1.5,1.5,116.0,2.39,2.297857,2.06475,1.5,2.245,1.99,0.39,0.29,0.48,7761.0,0.39,0.38714287,0.38096774,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/6536ca5640d7b6dd.webp,31.0,80.2
Ivysaur,019bffab-58b9-77cf-912b-3aee171b84e0,167/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,49.99,49.99,49.99,364.0,47.0,49.685715,51.58327,49.99,50.0,50.99,58.92,60.0,69.98,5073.0,58.06,57.714287,57.757744,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/aa0fc5ddab2ae03e.webp,31.0,80.2
Ivysaur,019c3ac3-ec70-77fb-8940-544aafc2daf4,002/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,2.49,1.99,2.99,76.0,1.99,1.8271428,1.764,2.49,1.99,1.89,0.18,0.03,0.4,12623.0,0.17,0.16428572,0.20870967,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/6536ca5640d7b6dd.webp,31.0,80.2
Venusaur,019bffa9-14a4-732a-bc78-30b5441b4763,003/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Double Rare,USD,US,2.33,1.75,3.48,410.0,2.16,2.145,2.1366,2.19,2.16,2.19,1.45,0.5,2.2,31900.0,1.43,1.3385714,1.2532258,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/216a14490b96b744.webp,17.0,89.44
Venusaur,019bffab-58b9-77cf-912b-8d26e8df9af7,182/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Ultra Rare,USD,US,20.0,20.0,20.0,312.0,19.99,17.852142,18.36148,19.99,16.99,17.99,18.25,19.51,19.99,5431.0,17.98,18.0,18.7,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/8a06bb047b51299c.webp,17.0,89.44
Venusaur,019bffab-58b9-77cf-912b-ab2dd3a12a07,198/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Special Illustration Rare,USD,US,112.5,112.5,112.5,380.0,,,,114.0,115.5,125.0,132.71,132.71,132.71,4753.0,132.71,135.42857,135.9442,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/7eb71fac7b0eb5cb.webp,17.0,89.44
Charmander,019bffa9-14a4-732a-bc78-34e124845f99,004/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,1.09,1.09,1.09,147.0,1.99,1.8421428,1.9685295,1.89,1.97,1.99,0.39,0.23,0.57,7832.0,0.38,0.4157143,0.39064518,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/af5c6ae366ab7d51.webp,12.0,92.74
